,source,target
57,1127761420785987584,1156312694498189312
58,1127761420785987584,909265770
59,1127761420785987584,933371012481277952
60,1127761420785987584,875389704946028544
61,1127761420785987584,103107838
62,1127761420785987584,898019229001240576
63,1127761420785987584,4700220927
64,1127761420785987584,930058149226303489
65,1127761420785987584,745056707521425412
66,1127761420785987584,938506544920002560
0,1050069269508227072,1431723144411324419
1,1050069269508227072,1316471689585348614
2,1050069269508227072,1412512620159115265
3,1050069269508227072,1577038650868736002
4,1050069269508227072,1566582573484097536
5,1050069269508227072,1246601287795425280
6,1050069269508227072,1574101844325974016
7,1050069269508227072,1487591010138005505
8,1050069269508227072,1549253850917490689
9,1050069269508227072,1268218185054068738
10,1050069269508227072,1554789583904280577
11,1050069269508227072,1348299962262679553
12,1050069269508227072,1265536284094877702
0,1402878631085490180,362062957
1,1402878631085490180,20679047
2,1402878631085490180,1551694598518480898
3,1402878631085490180,1532831953896218624
4,1402878631085490180,1245361737530032128
5,1402878631085490180,1383143533666783233
6,1402878631085490180,1512040645321531393
7,1402878631085490180,1489725741973581828
8,1402878631085490180,3091596262
9,1402878631085490180,1470264592475607042
10,1402878631085490180,735573897089781760
11,1402878631085490180,1512875917013618688
12,1402878631085490180,1052801311798976512
13,1402878631085490180,302777155
14,1402878631085490180,477190319
15,1402878631085490180,1488833892501049353
16,1402878631085490180,1366560483143221249
17,1402878631085490180,1450898102412525572
18,1402878631085490180,1310791229274124288
19,1402878631085490180,1443458010458689538
20,1402878631085490180,1016330124
21,1402878631085490180,1171407828
22,1402878631085490180,1360399530634563588
23,1402878631085490180,976735487808417792
24,1402878631085490180,971410486670643203
25,1402878631085490180,485287581
26,1402878631085490180,851217018925797378
27,1402878631085490180,1278151742081978368
28,1402878631085490180,1414357223761907712
29,1402878631085490180,864851943872749569
30,1402878631085490180,847506901
31,1402878631085490180,2895853745
32,1402878631085490180,738123630610132992
33,1402878631085490180,1417690072116350977
34,1402878631085490180,1361320017418149895
35,1402878631085490180,1364420058752176133
36,1402878631085490180,2389346376
37,1402878631085490180,1183847794236448771
38,1402878631085490180,1286258897624469504
39,1402878631085490180,1264532069637652480
40,1402878631085490180,1331090145014145026
41,1402878631085490180,4866357993
42,1402878631085490180,1343325677156782080
43,1402878631085490180,1107693421303681026
44,1402878631085490180,1086553368548511744
45,1402878631085490180,1305870892099145731
46,1402878631085490180,1404460382832533515
47,1402878631085490180,1194412876129284097
48,1402878631085490180,991316421350187012
